id,"tanggal (WIB)","waktu (WIB)",lintang,bujur,"tingkat kepercayaan",satelit,"radius kemungkinan",kecamatan,kabupaten,provinsi,tipe
2799030,2021-03-13,14:12:00,1.394430160522461,101.65718078613281,8,aqua,3000,"Bukit Batu",Bengkalis,Riau,Cluster
2804965,2021-03-13,21:58:00,0.9615406394004822,103.07929611206055,8,terra,3414,"Tebing Tinggi","Kepulauan Meranti",Riau,Cluster
2808038,2021-03-14,00:48:57,1.3482028105882353,102.43759424529411,8,snpp,2296,Bengkalis,Bengkalis,Riau,Cluster
2919294,2021-03-19,10:42:00,0.918687105178833,101.85977935791016,8,terra,3000,Siak,Siak,Riau,Cluster
2960498,2021-03-21,10:30:00,0.6876585185527802,102.77510070800781,8,terra,3414,"Sungai Apit",Siak,Riau,Cluster
2808039,2021-03-14,00:48:57,1.35291266,102.46090698,8,snpp,1125,Bintan,Bengkalis,Riau,Cluster
2919295,2021-03-19,10:42:00,0.7965993881225586,102.19024658203125,8,terra,3000,"Siak Sri Indrapura",Siak,Riau,Cluster
2808042,2021-03-14,00:48:57,0.9672904749999999,103.0844173425,8,snpp,1500,"Tebing Tinggi","Kepulauan Meranti",Riau,Cluster
2919296,2021-03-19,10:42:00,0.5354354381561279,102.08718872070312,8,terra,3000,Bunut,Pelalawan,Riau,Cluster
2962885,2021-03-21,13:24:00,-0.504366546869278,102.75860977172852,8,aqua,3414,Tempuling,"Indragiri Hilir",Riau,Cluster
2962886,2021-03-21,13:24:00,-0.20831045508384705,102.37577819824219,7,aqua,3000,Rengat,"Indragiri Hulu",Riau,Cluster
2919297,2021-03-19,10:42:00,0.4965749680995941,102.28933715820312,8,terra,3000,Bunut,Pelalawan,Riau,Cluster
2808044,2021-03-14,00:48:57,0.5745319214285715,103.1926542,8,snpp,1742,"Kuala Kampar",Pelalawan,Riau,Cluster
2919298,2021-03-19,10:42:00,0.3622899055480957,103.21031188964844,8,terra,3000,Mandah,"Indragiri Hilir",Riau,Cluster
2962887,2021-03-21,13:24:00,0.12524539418518543,102.5511360168457,8,aqua,4000,"Kuala Kampar",Pelalawan,Riau,Cluster
2816983,2021-03-14,10:24:00,1.713530421257019,101.2630386352539,8,terra,3000,"Dumai Barat",Dumai,Riau,Cluster
2919299,2021-03-19,10:42:00,0.3570803999900818,101.98396301269531,8,terra,3000,Bunut,Pelalawan,Riau,Cluster
2919300,2021-03-19,10:42:00,0.16171306371688843,102.2423095703125,8,terra,3000,Bunut,Pelalawan,Riau,Cluster
2963652,2021-03-21,12:57:05,-0.5037892150000001,102.758247375,8,snpp,1280,Tempuling,"Indragiri Hilir",Riau,Cluster
2816984,2021-03-14,10:24:00,1.3514378070831299,102.43025207519531,8,terra,3000,Bengkalis,Bengkalis,Riau,Cluster
2963653,2021-03-21,12:57:05,0.12916783,102.556396485,8,snpp,1280,"Kuala Kampar",Pelalawan,Riau,Cluster
2987431,2021-03-22,11:12:00,0.6897315979003906,102.75922393798828,8,terra,3414,"Sungai Apit",Siak,Riau,Cluster
2816985,2021-03-14,10:24:00,1.3480538129806519,102.45378112792969,9,terra,3000,Bengkalis,Bengkalis,Riau,Cluster
2987432,2021-03-22,11:12:00,-0.137714684009552,102.79790496826172,8,terra,3000,Gaunganakserka,"Indragiri Hilir",Riau,Cluster
2974277,2021-03-22,01:42:25,0.12852939000000002,102.55513153199999,8,snpp,1588,"Kuala Kampar",Pelalawan,Riau,Cluster
2816986,2021-03-14,10:24:00,1.3375542163848877,102.32530975341797,8,terra,3000,Merbau,"Kepulauan Meranti",Riau,Cluster
2974278,2021-03-22,01:42:25,-0.5046404,102.75906880666666,8,snpp,1399,Tempuling,"Indragiri Hilir",Riau,Cluster
